nct_id,snapshot_months,start_year,label,duration_days,phase_num,sponsor_num,is_industry,log_planned_enrollment,n_arms,n_countries,is_multinational,n_primary_outcomes,log_n_eligibility_chars,has_drug,has_device,has_biological,n_sites,n_status_changes,had_suspension,n_amendments,enrollment_velocity,enrollment_still_anticipated,status_is_recruiting,status_is_active_not_rec,status_is_suspended,status_is_not_yet_rec,elapsed_days
NCT01205711,3,2010,0,884.0,2,4,0,4.718498871295094,0,1,0,1,7.992944547318106,1,0,0,4,0,0,0,1.2197802197802199,0,0,0,0,0,91
NCT01205711,6,2010,0,884.0,2,4,0,4.718498871295094,0,1,0,1,7.992944547318106,1,0,0,4,0,0,0,0.6098901098901099,0,0,0,0,0,182
NCT01205711,12,2010,0,884.0,2,4,0,4.718498871295094,0,1,0,1,7.992944547318106,1,0,0,4,0,0,0,0.30494505494505497,0,0,0,0,0,364
NCT00671034,3,2008,0,4636.0,3,4,0,5.117993812416755,2,1,0,1,7.3613754289773485,1,0,0,27,0,0,0,1.8241758241758241,0,0,0,0,0,91
NCT00671034,6,2008,0,4636.0,3,4,0,5.117993812416755,2,1,0,1,7.3613754289773485,1,0,0,27,0,0,0,0.9120879120879121,0,0,0,0,0,182
NCT00671034,12,2008,0,4636.0,3,4,0,5.117993812416755,2,1,0,1,7.3613754289773485,1,0,0,27,0,0,0,0.45604395604395603,0,0,0,0,0,364
NCT02601209,3,2015,1,2415.0,1,1,0,5.0238805208462765,2,1,0,2,8.628913441026645,1,0,0,460,0,0,0,1.6593406593406594,0,0,0,0,0,91
NCT02601209,6,2015,1,2415.0,1,1,0,5.0238805208462765,2,1,0,2,8.628913441026645,1,0,0,460,0,0,0,0.8296703296703297,0,0,0,0,0,182
NCT02601209,12,2015,1,2415.0,1,1,0,5.0238805208462765,2,1,0,2,8.628913441026645,1,0,0,460,0,0,0,0.41483516483516486,0,0,0,0,0,364
NCT01495598,3,2012,0,3780.0,1,1,0,3.367295829986474,2,1,0,7,8.921190556249368,1,0,0,1,0,0,0,0.3076923076923077,0,0,0,0,0,91
NCT01495598,6,2012,0,3780.0,1,1,0,3.367295829986474,2,1,0,7,8.921190556249368,1,0,0,1,0,0,0,0.15384615384615385,0,0,0,0,0,182
NCT01495598,12,2012,0,3780.0,1,1,0,3.367295829986474,2,1,0,7,8.921190556249368,1,0,0,1,0,0,0,0.07692307692307693,0,0,0,0,0,364
NCT02591784,3,2008,0,1125.0,2,4,0,3.7612001156935624,1,1,0,1,6.62273632394984,1,0,0,5,0,0,0,0.46153846153846156,0,0,0,0,0,91
NCT02591784,6,2008,0,1125.0,2,4,0,3.7612001156935624,1,1,0,1,6.62273632394984,1,0,0,5,0,0,0,0.23076923076923078,0,0,0,0,0,182
